Name,Star Rating,Sentiment,Culture,Filtered Pros
ByteDance,5.0,good,,Busy environment  good lunch constant changes adapt 
ByteDance,4.0,good,,1  Great start mindset though company grown substantially 2  Talented engineering team 3  Great benefits
ByteDance,4.0,good,,s place everyone  embrace integration work  life instead thinking 2 separate domains nt cross much
ByteDance,1.0,bad,good_culture, pay better market  Outwardly culture positive
ByteDance,3.0,neutral,,Good office place  decent tooling  Lark powerful communication tool  People efficient point 
ByteDance,4.0,good,good_culture, great tech  culture  interns get touch prod code handle projects outwardfacing  fastpaced
ByteDance,1.0,bad,,Ok compensation  High visibility  learn lot
ByteDance,4.0,good,,good impact  many opportunity learn
ByteDance,4.0,good,, nice insurance  nice pantry
ByteDance,5.0,good,good_culture,Salary good  culture good
ByteDance,5.0,good,,overall employee benefit good  eg  health insurance  free meals   many employee engagement activities 
ByteDance,3.0,neutral,bad_culture,friendly colleagues  relative good salary fresh graduate
ByteDance,4.0,good,,Good Perks  Welfare office
ByteDance,4.0,good,, Benefit good  Job scope inspiring  ownership encouraged  Great mentorship
ByteDance,3.0,neutral,,Dynamic  smart colleagues Amazing AI technology Customer obsessed
ByteDance,5.0,good,,nice work  great environemnt
ByteDance,4.0,good,,Good perks  free food occasional wag
ByteDance,2.0,bad,good_culture,Good engineering culture  smart colleagues 
ByteDance,4.0,good,,Really good welfare working environment
ByteDance,4.0,good,,Grow faster many opportunities prompt 
ByteDance,5.0,good,, Great people  one talent people SG works  lot autonomy drive projects ownership  Things moves quickly  Performance driven high bonus payout
ByteDance,3.0,neutral,,High salary singapore software
ByteDance,3.0,neutral,bad_culture,brand name good office location great
ByteDance,5.0,good,,Equal opportunities  everyone helpful supportive  amazing lunch catering office good facilities  company trust
ByteDance,4.0,good,, Great Employee Benefit  Great Swags
ByteDance,5.0,good,,updated soon next
ByteDance,4.0,good,,Good benefits  Flexibility working office home  Lunch provided
ByteDance,3.0,neutral,,Good welfare  free food everyday  unlimited snacks drinks
ByteDance,4.0,good,good_culture,nice culture encourage people learn contribute  cloud infrastructure experience cool 
ByteDance,4.0,good,bad_culture,Good staff Welfare benefits
ByteDance,5.0,good,,equle  passion happystart
ByteDance,3.0,neutral,,Work fast paced  frequent changes uncommon  One required work agile manner  However  really helps colleagues also onboard committed deliver together 
ByteDance,5.0,good,,Great coworkers  working envirenment nice  slaray fits level outcomes 
ByteDance,3.0,neutral,, fastpaced fintech company  generous benefits perks SGD 15 daily meal allowance  WFH allowance   Lark far convenient collaborative tool  move move another role department 6 months  lots career opportunities
ByteDance,1.0,bad,, Good pay China   Fantastic play politics 
ByteDance,4.0,good,,good benefits good pay wfh allowed
ByteDance,3.0,neutral,bad_culture,technical projects Good support fresh grads
ByteDance,3.0,neutral,, TikTok well known brand 
